secao,metrica,valor
geral,total_candidatos,4964.0
geral,distancia_minima_km,1.178489957698674
geral,distancia_percentil_1_km,11.739100563883257
geral,distancia_percentil_5_km,21.21022132614544
geral,distancia_percentil_10_km,28.576338411385727
geral,distancia_percentil_25_km,45.29531151679588
geral,distancia_percentil_50_km,71.12066659195989
geral,distancia_percentil_75_km,102.6822843783421
geral,distancia_percentil_90_km,142.67181818155325
geral,distancia_percentil_95_km,179.19233107938783
geral,distancia_percentil_99_km,300.0736423651163
geral,distancia_maxima_km,584.4433910704442
geral,quantidade_ate_25_km,374.0
geral,proporcao_ate_25_km,0.07534246575342465
geral,quantidade_ate_50_km,1475.0
geral,proporcao_ate_50_km,0.2971394037066882
geral,quantidade_ate_100_km,3640.0
geral,proporcao_ate_100_km,0.7332796132151491
geral,quantidade_acima_100_km,1324.0
geral,proporcao_acima_100_km,0.26672038678485094

secao,uf,total_candidatos,quantidade_ate_25_km,proporcao_ate_25_km,quantidade_ate_50_km,proporcao_ate_50_km,quantidade_ate_100_km,proporcao_ate_100_km
por_uf,AC,17,1,0.058823529411764705,2,0.11764705882352941,4,0.23529411764705882
por_uf,AL,87,16,0.1839080459770115,53,0.6091954022988506,87,1.0
por_uf,AM,49,2,0.04081632653061224,6,0.12244897959183673,13,0.2653061224489796
por_uf,AP,10,1,0.1,1,0.1,1,0.1
por_uf,BA,382,13,0.034031413612565446,73,0.19109947643979058,244,0.6387434554973822
por_uf,CE,152,12,0.07894736842105263,47,0.3092105263157895,121,0.7960526315789473
por_uf,ES,58,10,0.1724137931034483,28,0.4827586206896552,58,1.0
por_uf,GO,221,8,0.03619909502262444,40,0.18099547511312217,123,0.5565610859728507
por_uf,MA,189,5,0.026455026455026454,39,0.20634920634920634,129,0.6825396825396826
por_uf,MG,788,18,0.02284263959390863,127,0.16116751269035534,481,0.6104060913705583
por_uf,MS,68,2,0.029411764705882353,5,0.07352941176470588,24,0.35294117647058826
por_uf,MT,122,2,0.01639344262295082,8,0.06557377049180328,26,0.21311475409836064
por_uf,PA,126,3,0.023809523809523808,12,0.09523809523809523,48,0.38095238095238093
por_uf,PB,203,19,0.09359605911330049,76,0.37438423645320196,199,0.9802955665024631
por_uf,PE,159,33,0.20754716981132076,80,0.5031446540880503,156,0.9811320754716981
por_uf,PI,204,14,0.06862745098039216,44,0.21568627450980393,134,0.6568627450980392
por_uf,PR,364,15,0.04120879120879121,74,0.2032967032967033,256,0.7032967032967034
por_uf,RJ,62,15,0.24193548387096775,49,0.7903225806451613,62,1.0
por_uf,RN,136,28,0.20588235294117646,89,0.6544117647058824,136,1.0
por_uf,RO,44,0,0.0,3,0.06818181818181818,18,0.4090909090909091
por_uf,RR,11,0,0.0,0,0.0,2,0.18181818181818182
por_uf,RS,450,37,0.08222222222222222,182,0.40444444444444444,397,0.8822222222222222
por_uf,SC,258,38,0.14728682170542637,124,0.4806201550387597,254,0.9844961240310077
por_uf,SE,66,23,0.3484848484848485,63,0.9545454545454546,66,1.0
por_uf,SP,610,56,0.09180327868852459,235,0.38524590163934425,546,0.8950819672131147
por_uf,TO,128,3,0.0234375,15,0.1171875,55,0.4296875
