codigo_municipio_ibge,municipio,uf,tipo_candidato,co_entidade,nomes_historicos_censo,primeiro_ano_registro_censo,ultimo_ano_registro_censo,primeiro_ano_ativa_censo,ultimo_ano_ativa_censo,primeiro_ano_ept_ativa_censo,ultimo_ano_ept_ativa_censo,sigla_unidade_sistec,nome_unidade_sistec,dt_autorizacao_sistec,uf_unidade_sistec,municipio_unidade_sistec,correspondencia_municipio
2903904,Bom Jesus da Lapa,BA,CENSO_ESCOLAR,29396581,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA BAIANO; INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA BAIANO - CAMPUS BOM JESUS DA LAPA; IF BAIANO - CAMPUS BOM JESUS DA LAPA,2010.0,2019.0,2010,2019,2010,2019,,,,,,codigo_ibge
2903904,Bom Jesus da Lapa,BA,MEC_SISTEC,,,,,,,,,IF BAIANO,Instituto Federal Baiano - Campus Bom Jesus da Lapa,06/04/2010 16:38:56,BA,Bom Jesus da Lapa,exata
2910800,Feira de Santana,BA,CENSO_ESCOLAR,29448735,INSTITUTO FEDERAL DE EDUCACAO E CIENCIA E TECNOLOGIA - IFBA CAMPUS FEIRA DE SANTANA; IFBA - CAMPUS FEIRA DE SANTANA,2012.0,2019.0,2012,2019,2012,2019,,,,,,codigo_ibge
2910800,Feira de Santana,BA,MEC_SISTEC,,,,,,,,,IFBA,Instituto Federal da Bahia - Campus Feira de Santana,22/03/2011 16:27:41,BA,Feira de Santana,exata
2913606,Ilhéus,BA,CENSO_ESCOLAR,29448751,INSTITUTO FEDERAL DA BAHIA - CAMPUS DE ILHEUS; IFBA - CAMPUS ILHEUS,2012.0,2019.0,2012,2019,2012,2019,,,,,,codigo_ibge
2913606,Ilhéus,BA,MEC_SISTEC,,,,,,,,,IFBA,Instituto Federal da Bahia - Campus Ilhéus,22/03/2011 16:15:39,BA,Ilhéus,exata
2914604,Irecê,BA,CENSO_ESCOLAR,29397928,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DA BAHIA - CAMPUS IRECE; IFBA - CAMPUS IRECE,2011.0,2019.0,2011,2019,2011,2019,,,,,,codigo_ibge
2914604,Irecê,BA,MEC_SISTEC,,,,,,,,,IFBA,Instituto Federal da Bahia - Campus Irecê,22/03/2011 16:04:57,BA,Irecê,exata
2917508,Jacobina,BA,CENSO_ESCOLAR,29449014,INSTITUTO FEDERAL DA BAHIA - CAMPUS JACOBINA,2012.0,2012.0,,,,,,,,,,codigo_ibge
2917508,Jacobina,BA,CENSO_ESCOLAR,29449677,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DA BAHIA CAMPUS JACOBINA; IFBA - CAMPUS JACOBINA,2012.0,2019.0,2012,2019,2012,2019,,,,,,codigo_ibge
2917508,Jacobina,BA,MEC_SISTEC,,,,,,,,,IFBA,Instituto Federal da Bahia - Campus Jacobina,22/03/2011 16:21:03,BA,Jacobina,exata
2918001,Jequié,BA,CENSO_ESCOLAR,29397987,INSTITUTO FEDERAL DE DUCACAO CIENCIA E TECNOLOGIA DA BAHIA - CAMPUS JEQUIE; IFBA - CAMPUS JEQUIE,2012.0,2019.0,2012,2019,2012,2019,,,,,,codigo_ibge
2918001,Jequié,BA,MEC_SISTEC,,,,,,,,,IFBA,Instituto Federal da Bahia - Campus Jequié,22/03/2011 16:00:43,BA,Jequié,exata
2924009,Paulo Afonso,BA,CENSO_ESCOLAR,29397995,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DA BAHIA - CAMPUS DE PAULO AFONSO; IFBA - CAMPUS PAULO AFONSO,2011.0,2019.0,2011,2019,2011,2019,,,,,,codigo_ibge
2924009,Paulo Afonso,BA,MEC_SISTEC,,,,,,,,,IFBA,Instituto Federal da Bahia - Campus Paulo Afonso,22/03/2011 16:08:15,BA,Paulo Afonso,exata
2929909,Seabra,BA,CENSO_ESCOLAR,29448743,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DA BAHIA - CAMPUS SEABRA; IFBA - CAMPUS SEABRA,2012.0,2019.0,2012,2019,2012,2019,,,,,,codigo_ibge
2929909,Seabra,BA,MEC_SISTEC,,,,,,,,,IFBA,Instituto Federal da Bahia - Campus Seabra,22/03/2011 16:24:09,BA,Seabra,exata
2300200,Acaraú,CE,CENSO_ESCOLAR,23236140,IFCE - CAMPUS DE ACARAU; IFCE - CAMPUS ACARAU,2011.0,2019.0,2011,2019,2011,2019,,,,,,codigo_ibge
2300200,Acaraú,CE,MEC_SISTEC,,,,,,,,,IFCE,Instituto Federal do Ceará - Campus Acaraú,19/10/2010 15:16:44,CE,Acaraú,exata
2300200,Acaraú,CE,MEC_SISTEC,,,,,,,,,null,SEDE,30/09/2010 14:37:40,CE,Acaraú,exata
2302800,Canindé,CE,CENSO_ESCOLAR,23564172,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA; INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA CAMPUS CANINDE; IFCE - CAMPUS CANINDE,2011.0,2019.0,2011,2019,2011,2019,,,,,,codigo_ibge
2302800,Canindé,CE,MEC_SISTEC,,,,,,,,,IFCE,Instituto Federal do Ceará - Campus Canindé,18/06/2010 15:56:59,CE,Canindé,exata
2304103,Crateús,CE,CENSO_ESCOLAR,23564229,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA CAMPO DE CRATEUS; IFCE - CAMPUS CRATEUS,2011.0,2019.0,2011,2019,2011,2019,,,,,,codigo_ibge
2304103,Crateús,CE,MEC_SISTEC,,,,,,,,,IFCE,Instituto Federal do Ceará - Campus Crateús,19/10/2010 15:55:34,CE,Crateús,exata
2307601,Limoeiro do Norte,CE,CENSO_ESCOLAR,23533986,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO CEARA; IFCE - CAMPUS LIMOEIRO DO NORTE,2009.0,2019.0,2009,2019,2009,2019,,,,,,codigo_ibge
2307601,Limoeiro do Norte,CE,MEC_SISTEC,,,,,,,,,IFCE,Instituto Federal do Ceará - Campus Limoeiro do Norte,19/05/2009 17:24:26,CE,Limoeiro do Norte,exata
2311306,Quixadá,CE,CENSO_ESCOLAR,23236159,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO CEARA - CAMPUS QUIXADA; IFCE - CAMPUS QUIXADA,2011.0,2019.0,2011,2019,2011,2019,,,,,,codigo_ibge
2311306,Quixadá,CE,MEC_SISTEC,,,,,,,,,IFCE,Instituto Federal do Ceará - Campus Quixadá,10/03/2009 09:32:49,CE,Quixadá,exata
2311306,Quixadá,CE,MEC_SISTEC,,,,,,,,,null,INSTITUTO FEDERAL DO CEARÁ - QUIXADÁ,19/05/2009 17:21:30,CE,Quixadá,exata
2312908,Sobral,CE,CENSO_ESCOLAR,23236213,CAMPUS SOBRAL; IFCE - CAMPUS SOBRAL,2011.0,2019.0,2011,2019,2011,2019,,,,,,codigo_ibge
2312908,Sobral,CE,MEC_SISTEC,,,,,,,,,IFCE,Instituto Federal do Ceará - Campus Sobral,19/05/2009 17:11:32,CE,Sobral,exata
5300108,Brasília,DF,CENSO_ESCOLAR,53000773,CR DA ASSOC PIONEIRAS SOCIAIS,2007.0,2016.0,2007,2015,,,,,,,,codigo_ibge
5300108,Brasília,DF,CENSO_ESCOLAR,53001354,COL MILITAR DE BRASILIA,2007.0,2019.0,2007,2019,,,,,,,,codigo_ibge
5300108,Brasília,DF,CENSO_ESCOLAR,53006178,ESC TECNICA FEDERAL DE BRASILIA - DF; INST FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DE BRASILIA - IFB; INST FEDERAL DE BRASILIA - CAMPUS PLANALTINA; IFB - CAMPUS PLANALTINA,2008.0,2019.0,2008,2019,2008,2019,,,,,,codigo_ibge
5300108,Brasília,DF,CENSO_ESCOLAR,53015215,INST FEDERAL DE BRASILIA - CAMPUS BRASILIA; IFB - CAMPUS BRASILIA,2011.0,2019.0,2011,2019,2011,2019,,,,,,codigo_ibge
5300108,Brasília,DF,CENSO_ESCOLAR,53015223,INST FEDERAL DE BRASILIA - CAMPUS TAGUATINGA; IFB - CAMPUS TAGUATINGA,2011.0,2019.0,2011,2019,2011,2019,,,,,,codigo_ibge
5300108,Brasília,DF,CENSO_ESCOLAR,53015231,INST FEDERAL DE BRASILIA - CAMPUS SAMAMBAIA; IFB - CAMPUS SAMAMBAIA,2011.0,2019.0,2011,2019,2011,2019,,,,,,codigo_ibge
5300108,Brasília,DF,CENSO_ESCOLAR,53015240,INST FEDERAL DE BRASILIA - CAMPUS GAMA; IFB - CAMPUS GAMA,2011.0,2019.0,2011,2019,2011,2019,,,,,,codigo_ibge
5300108,Brasília,DF,CENSO_ESCOLAR,53015380,INST FEDERAL DE BRASILIA - CAMPUS RIACHO FUNDO; IFB - CAMPUS RIACHO FUNDO,2012.0,2019.0,2012,2019,2012,2019,,,,,,codigo_ibge
